"WEO.Country.Code","ISO","Country","NGDP_R","NGDP_RPCH","NGDP","NGDPD","PPPGDP","NGDP_D","NGDPRPC","NGDPRPPPPC","NGDPPC","NGDPDPC","PPPPC","NGAP_NPGDP","PPPSH","PPPEX","NID_NGDP","NGSD_NGDP","PCPI","PCPIPCH","PCPIE","PCPIEPCH","FLIBOR6","TM_RPCH","TMG_RPCH","TX_RPCH","TXG_RPCH","LUR","LE","LP","GGR","GGR_NGDP","GGX","GGX_NGDP","GGXCNL","GGXCNL_NGDP","GGSB","GGSB_NPGDP","GGXONLB","GGXONLB_NGDP","GGXWDN","GGXWDN_NGDP","GGXWDG","GGXWDG_NGDP","NGDP_FY","BCA","BCA_NGDPD"
724,"SLE","Sierra Leone",9029.894,6.297,24287.826,3.785,10.931,268.971,1245822.288,1396.779,3350904.828,522.173,1508.045,NA,0.009,2222.02,12.275,7.929,171.293,10.883,187.39,17.412,NA,-19.973,-24.022,21.403,13.106,NA,NA,7.248,3615.412,14.886,5670.776,23.348,-2055.363,-8.463,NA,NA,-1853.558,-7.632,NA,NA,13329.809,54.883,24287.826,-0.088,-2.33
576,"SGP","Singapore",407.918,2.397,427.939,309.754,500.187,104.908,72747.96,82621.503,76318.388,55241.284,89203.051,NA,0.414,0.856,27.03,46.027,98.932,-0.532,99.351,0.163,NA,0.112,-1.07,1.105,-1.074,2.075,3.672,5.607,91.026,20.984,76.897,17.727,14.129,3.257,14.005,3.269,NA,NA,NA,NA,463.166,106.774,433.782,58.845,18.997
936,"SVK","Slovak Republic",79.037,3.325,81.154,89.806,170.592,102.678,14565.744,29118.722,14955.811,16550.225,31438.291,1.022,0.141,0.476,22.57,21.113,99.526,-0.474,100.02,0.241,NA,3.727,4.281,6.238,6.629,9.683,2.321,5.426,31.893,39.3,33.684,41.506,-1.791,-2.207,-2.078,-2.587,-0.681,-0.839,NA,NA,42.053,51.819,81.154,-1.309,-1.457
961,"SVN","Slovenia",38.139,3.148,40.418,44.727,66.574,105.977,18476.321,29872.258,19580.629,21668.088,32251.853,-2.519,0.055,0.607,18.701,24.202,99.947,-0.053,100.511,0.511,NA,6.588,7.013,6.447,6.171,8.025,0.96,2.064,15.842,39.196,16.543,40.929,-0.701,-1.734,-0.124,-0.298,0.387,0.958,21.15,52.329,31.753,78.562,40.418,2.461,5.502
813,"SLB","Solomon Islands",4.896,3.457,9.798,1.235,1.261,200.113,8153.352,1944.626,16315.941,2056.559,2099.533,NA,0.001,7.771,19.112,15.17,186.383,0.503,183.9,-2.233,NA,3.54,-1.751,-4.383,-6.687,NA,NA,0.601,4.226,43.13,4.609,47.039,-0.383,-3.909,NA,NA,-0.374,-3.821,-0.626,-6.39,0.775,7.907,9.798,-0.049,-3.942
726,"SOM","Somalia",7.063,4.38,6.767,6.767,19.608,95.813,NA,NA,NA,NA,NA,NA,0.016,0.345,NA,NA,NA,NA,102.927,-0.031,NA,NA,NA,NA,NA,NA,NA,NA,0.171,2.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.767,-0.427,-6.308
199,"ZAF","South Africa",3084.174,0.565,4350.314,295.678,743.07,141.053,55450.809,12374.059,78214.923,5316.042,13359.764,NA,0.616,5.855,19.353,16.567,97.833,6.341,100.414,6.724,NA,-3.779,-4.016,0.967,0.557,26.725,NA,55.62,1246.281,28.648,1422.895,32.708,-176.614,-4.06,-165.464,-3.779,-28.504,-0.655,1968.426,45.248,2243.264,51.566,4350.314,-8.237,-2.786
733,"SSD","South Sudan",17.682,-13.933,143.381,3.054,20.707,810.888,1445.704,1568.091,11723.035,249.662,1693.004,NA,0.017,6.924,17.486,18.651,1184.199,379.849,2068.361,479.735,NA,NA,NA,NA,NA,NA,NA,12.231,48.447,33.789,78.943,55.058,-30.496,-21.269,NA,NA,-29.836,-20.809,NA,NA,124.198,86.62,143.381,0.039,1.263
184,"ESP","Spain",1106.948,3.173,1118.522,1237.766,1694.645,101.046,23857.142,33828.554,24106.59,26676.553,36523.303,-2.369,1.404,0.66,20.488,22.408,99.997,-0.204,102.049,1.57,NA,2.918,1.251,5.205,3.05,19.635,18.342,46.399,421.632,37.695,472.033,42.201,-50.401,-4.506,-33.606,-2.933,-22.128,-1.978,964.221,86.205,1107.205,98.988,1118.522,23.773,1.921
524,"LKA","Sri Lanka",9034.289,4.469,11906.752,81.546,262.01,131.795,426085.412,11445.463,561559.779,3845.988,12357.197,NA,0.217,45.444,34.979,32.842,111.7,4.004,114.7,4.463,NA,9.01,9.01,9.985,9.985,4.4,NA,21.203,1693.557,14.224,2333.883,19.601,-640.326,-5.378,NA,NA,-29.431,-0.247,NA,NA,9478.875,79.609,11906.752,-1.743,-2.137
361,"KNA","St. Kitts and Nevis",1.841,2.873,2.591,0.96,1.49,140.693,33575.878,25163.711,47239.062,17495.949,27168.227,NA,0.001,1.739,30,19.33,106.978,-0.342,106.74,0.028,NA,6.32,9.225,1.208,11.144,NA,NA,0.055,0.833,32.15,0.73,28.173,0.103,3.977,NA,NA,0.145,5.596,NA,NA,1.594,61.509,2.591,-0.102,-10.67
362,"LCA","St. Lucia",3.487,3.37,4.436,1.643,2.422,127.213,19993.018,12862.216,25433.721,9419.897,13886.808,NA,0.002,1.832,17.363,15.462,114.005,-3.093,112.903,-3.009,NA,21.463,13.926,-6.486,-5.512,NA,NA,0.174,1.092,24.446,1.16,25.975,-0.068,-1.529,NA,NA,0.089,2,NA,NA,3.091,69.21,4.466,-0.031,-1.901
364,"VCT","St. Vincent and the Grenadines",1.471,0.83,2.081,0.771,1.233,141.494,13358.035,10373.433,18900.874,7000.324,11199.771,NA,0.001,1.688,26.082,10.284,105.65,-0.158,106.1,0.951,NA,7.531,7,1.532,1.605,NA,NA,0.11,0.618,29.71,0.595,28.58,0.024,1.13,NA,NA,0.049,2.372,1.665,80.009,1.724,82.826,2.081,-0.122,-15.798
732,"SDN","Sudan",21.722,2.994,639.604,55.787,171.623,2944.516,548.55,4014.291,16152.154,1408.8,4334.066,NA,0.142,3.727,14.26,13.125,591.726,17.75,688.369,30.474,NA,-9.553,-9.553,-1.472,-1.472,20.6,NA,39.599,45.068,7.046,67.899,10.616,-22.831,-3.57,NA,NA,-19.788,-3.094,NA,NA,636.54,99.521,639.604,-4.213,-7.553
366,"SUR","Suriname",9.426,-5.139,20.42,3.278,8.367,216.637,16397.992,13481.103,35524.178,5703.369,14554.995,NA,0.007,2.441,60.719,55.555,103.238,55.501,119.4,52.4,NA,-32.452,-34.71,-15.125,-15.579,9.7,NA,0.575,3.597,17.614,5.196,25.448,-1.6,-7.834,-1.481,-6.972,-1.232,-6.032,NA,NA,15.488,75.845,20.42,-0.169,-5.164
144,"SWE","Sweden",4484.096,2.684,4385.497,512.205,497.816,97.801,448627.05,46131.017,438762.368,51245.363,49805.769,0.238,0.412,8.809,24.518,28.782,101.136,1.138,101.415,1.415,NA,4.173,5.139,2.691,3.043,6.95,4.91,9.995,2190.075,49.939,2137.245,48.734,52.83,1.205,39.666,0.907,47.902,1.092,391.104,8.918,1855.931,42.32,4385.497,21.841,4.264
